"#","Solution","W","T","P0","P1","P2","P3","P4","P5","P6","v1","v2","v3"
"0","C-0_0_0_3_0_3_1_0_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.20","0.05","11","0.7","25","13","11938.81","695.0","4297.57"
"1","C-0_0_0_3_0_3_1_0_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.20","0.05","11","0.7","25","18","11940.07","695.0","4298.01"
"2","C-0_0_0_3_0_3_1_0_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.20","0.05","11","0.7","25","23","11992.13","673.5","4317.61"
"3","C-0_0_3_0_0_4_1_3_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.05","0.05","14","0.7","28","28","9064.66","35.5","3523.52"
"4","C-0_0_3_0_0_4_1_3_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.05","0.05","14","0.7","28","13","8769.58","71.5","3435.2"
"5","C-0_0_0_3_0_3_1_0_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.20","0.05","11","0.7","25","28","12254.15","625.5","4405.47"
"6","C-0_0_3_0_0_4_1_3_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.05","0.05","14","0.7","28","23","8818.13","60.0","3450.41"
"7","C-0_0_3_0_0_4_1_3_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.05","0.05","14","0.7","28","18","8770.56","71.5","3435.49"
"8","C-0_0_0_3_1_4_2_2_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.20","0.08","14","0.8","27","28","11366.9","593.5","4329.9"
"9","C-0_0_0_3_1_4_2_2_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.20","0.08","14","0.8","27","23","10960.54","664.0","4189.39"
"10","C-0_0_4_0_0_2_1_0_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.05","0.05","8","0.7","25","28","8077.36","40.5","2815.97"
"11","C-0_0_0_3_1_4_2_2_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.20","0.08","14","0.8","27","18","10778.24","679.5","4131.81"
"12","C-0_0_0_3_1_4_2_2_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.20","0.08","14","0.8","27","13","10776.27","679.5","4131.11"
"13","C-0_0_4_0_1_3_2_2_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.05","0.08","11","0.8","27","23","6999.54","32.0","2706.68"
"14","C-0_0_4_0_1_3_2_2_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.05","0.08","11","0.8","27","28","7322.38","4.0","2798.79"
"15","C-0_0_4_0_0_2_1_0_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.05","0.05","8","0.7","25","13","7802.26","80.0","2737.86"
"16","C-0_0_4_0_0_2_1_0_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.05","0.05","8","0.7","25","18","7803.02","80.0","2738.07"
"17","C-0_0_4_0_0_2_1_0_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.05","0.05","8","0.7","25","23","7848.46","68.5","2751.1"
"18","C-0_0_3_1_0_3_0_3_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.10","0.05","11","0.6","28","18","8860.25","95.5","3245.92"
"19","C-0_0_3_1_0_3_0_3_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.10","0.05","11","0.6","28","13","8859.6","95.5","3245.73"
"20","C-0_0_3_1_0_3_0_3_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.10","0.05","11","0.6","28","28","9004.34","58.5","3289.48"
